location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"warren, ar",accident,2013-04-15,united states,non-fatal,airplane,beech,n35,1.0,reciprocating,0.0,0.0,2.0,0.0,333338N,0009257W,no,warren,ar
"wellington, nv",accident,2013-04-15,united states,fatal,airplane,cessna,182d,1.0,reciprocating,2.0,0.0,0.0,0.0,384740N,1192839W,no,wellington,nv
"port alsworth, ak",accident,2013-04-15,united states,non-fatal,airplane,beech,a36,1.0,reciprocating,0.0,0.0,0.0,0.0,601155N,1541929W,no,port alsworth,ak
"palatka, fl",accident,2013-04-16,united states,non-fatal,airplane,cessna,a185f,1.0,reciprocating,0.0,0.0,0.0,0.0,294055N,0813847W,no,palatka,fl
"rexburg, id",accident,2013-04-18,united states,non-fatal,airplane,american legend aircraft co,al3,1.0,reciprocating,0.0,0.0,0.0,0.0,043501N,1114811W,no,rexburg,id
"lancaster, sc",accident,2013-04-18,united states,non-fatal,airplane,cessna,140,1.0,reciprocating,0.0,0.0,0.0,0.0,034489N,0804048W,no,lancaster,sc
"corvallis, or",accident,2013-04-18,united states,non-fatal,airplane,cessna,p210n,1.0,reciprocating,0.0,0.0,0.0,0.0,442929N,1231713W,no,corvallis,or
"mesa, az",accident,2013-04-19,united states,non-fatal,airplane,cubcrafters inc,cc11-160,1.0,reciprocating,0.0,0.0,0.0,0.0,332723N,1114325W,no,mesa,az
"williamsburg, va",accident,2013-04-19,united states,fatal,airplane,cessna,210e,1.0,reciprocating,2.0,0.0,0.0,0.0,371444N,0764337W,no,williamsburg,va
"paris, tx",accident,2013-04-19,united states,non-fatal,airplane,piper,pa-32-301,1.0,reciprocating,0.0,0.0,0.0,0.0,333811N,0095272W,no,paris,tx
"stow, ma",accident,2013-04-20,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,422738N,0071314W,no,stow,ma
"albuquerque, nm",accident,2013-04-20,united states,non-fatal,airplane,cessna,175a,1.0,reciprocating,0.0,0.0,0.0,0.0,003581N,1064724W,no,albuquerque,nm
"reading, mi",accident,2013-04-20,united states,non-fatal,airplane,cessna,172g,1.0,reciprocating,0.0,0.0,0.0,0.0,415024N,0844215W,no,reading,mi
"santa rosa, ca",accident,2013-04-20,united states,non-fatal,airplane,boeing,a75n1,1.0,reciprocating,0.0,0.0,0.0,0.0,383032N,1224846W,no,santa rosa,ca
"colorado springs, co",accident,2013-04-21,united states,non-fatal,airplane,cessna,t182t,1.0,reciprocating,0.0,0.0,0.0,0.0,384820N,0104422W,no,colorado springs,co
"greenbrier, ar",accident,2013-04-22,united states,fatal,airplane,alon,a2,1.0,reciprocating,1.0,0.0,0.0,0.0,351039N,0092206W,no,greenbrier,ar
"inlet, ny",accident,2013-04-23,united states,non-fatal,airplane,piper,pa-18-135,1.0,reciprocating,0.0,1.0,0.0,1.0,434424N,0744418W,no,inlet,ny
"americus, ga",accident,2013-04-23,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,032918N,0841926W,no,americus,ga
"lanesboro, ia",accident,2013-04-24,united states,non-fatal,helicopter,enstrom,f-28c,1.0,reciprocating,0.0,0.0,0.0,0.0,042941N,0094382W,no,lanesboro,ia
"bowling green, mo",accident,2013-04-24,united states,non-fatal,airplane,air tractor inc,at-301,1.0,reciprocating,0.0,0.0,0.0,0.0,392211N,0091139W,no,bowling green,mo
"milledgeville, ga",accident,2013-04-24,united states,non-fatal,airplane,cirrus design corp,sr22t,1.0,reciprocating,0.0,0.0,0.0,0.0,033915N,0083915W,no,milledgeville,ga
"clearwater, fl",incident,2013-04-24,united states,non-fatal,airplane,piaggio,p180,2.0,turbo prop,0.0,0.0,0.0,0.0,275418N,0824114W,no,clearwater,fl
"nenana, ak",accident,2013-04-24,united states,non-fatal,airplane,cessna,u206g,1.0,reciprocating,0.0,0.0,0.0,0.0,064626N,1475827W,no,nenana,ak
"knoxville, tn",accident,2013-04-25,united states,non-fatal,airplane,beech,35-c33a,1.0,reciprocating,0.0,1.0,0.0,1.0,355729N,0835215W,no,knoxville,tn
"rialto, ca",accident,2013-04-26,united states,non-fatal,airplane,waco,yks-7,1.0,reciprocating,0.0,0.0,0.0,0.0,034744N,0117245W,no,rialto,ca
"davis, wv",accident,2013-04-26,united states,non-fatal,airplane,cessna,172p,1.0,reciprocating,0.0,3.0,0.0,3.0,039318N,0792553W,no,davis,wv
"daytona beach, fl",accident,2013-04-26,united states,non-fatal,airplane,piper,pa-28-151,1.0,reciprocating,0.0,0.0,0.0,0.0,029449N,0081247W,no,daytona beach,fl
"hoxie, ks",accident,2013-04-26,united states,non-fatal,airplane,raytheon aircraft company,g36,1.0,reciprocating,0.0,0.0,0.0,0.0,392150N,1002723W,no,hoxie,ks
"newburgh, ny",accident,2013-04-26,united states,non-fatal,airplane,cessna,140a,1.0,reciprocating,0.0,0.0,0.0,0.0,413020N,0074554W,no,newburgh,ny
"little falls, mn",accident,2013-04-26,united states,non-fatal,airplane,engineering & research,415-c,1.0,reciprocating,0.0,0.0,2.0,0.0,455658N,0942049W,no,little falls,mn
"dade city, fl",accident,2013-04-27,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,3.0,0.0,282137N,0821125W,no,dade city,fl
"bryan, oh",accident,2013-04-27,united states,fatal,airplane,dean leslie n,highlander,1.0,reciprocating,1.0,1.0,0.0,1.0,413030N,0843349W,no,bryan,oh
"owatonna, mn",accident,2013-04-27,united states,non-fatal,airplane,piper,pa-28-180,1.0,reciprocating,0.0,0.0,2.0,0.0,044722N,0931532W,no,owatonna,mn
"henderson, nv",accident,2013-04-28,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,355813N,0011582W,no,henderson,nv
"norfolk, ne",accident,2013-04-28,united states,fatal,airplane,piper,pa-28r-180,1.0,reciprocating,2.0,0.0,0.0,0.0,415856N,0972259W,no,norfolk,ne
"bethel, me",accident,2013-04-28,united states,non-fatal,airplane,cessna,180,1.0,reciprocating,0.0,0.0,0.0,0.0,442531N,0704836W,no,bethel,me
